beach_id,height,period,direction,hits_at,pred_dtime
1,3.6,10.5,86,2004-05-30 11:00:00,2004-01-01 00:00:00
1,7.1,14.3,97,2004-03-14 14:00:00,2004-01-01 00:00:00
1,6.7,14.3,96,2004-03-14 10:00:00,2004-01-01 00:00:00
1,3.8,11.8,75,2004-05-29 10:00:00,2004-01-01 00:00:00
1,5.4,12.3,98,2004-03-14 04:00:00,2004-01-01 00:00:00
1,5.1,12.3,99,2004-03-14 03:00:00,2004-01-01 00:00:00
1,4.9,12.2,100,2004-03-14 02:00:00,2004-01-01 00:00:00
1,4.6,12.2,101,2004-03-14 01:00:00,2004-01-01 00:00:00
1,4.5,12.3,103,2004-03-13 21:00:00,2004-01-01 00:00:00
1,4.6,12.5,103,2004-03-13 19:00:00,2004-01-01 00:00:00
1,4.4,12.7,103,2004-03-13 18:00:00,2004-01-01 00:00:00
1,4.6,13.1,101,2004-03-13 15:00:00,2004-01-01 00:00:00
1,4.8,13.3,101,2004-03-13 12:00:00,2004-01-01 00:00:00
1,4.6,13.4,101,2004-03-13 10:00:00,2004-01-01 00:00:00
1,4.8,13.5,101,2004-03-13 09:00:00,2004-01-01 00:00:00
1,4.9,13.7,100,2004-03-13 06:00:00,2004-01-01 00:00:00
1,4.9,13.8,100,2004-03-13 05:00:00,2004-01-01 00:00:00
1,5.1,13.8,100,2004-03-13 04:00:00,2004-01-01 00:00:00
1,4.9,13.9,99,2004-03-13 02:00:00,2004-01-01 00:00:00
1,5.0,13.9,98,2004-03-13 01:00:00,2004-01-01 00:00:00
1,5.3,13.8,97,2004-03-12 23:00:00,2004-01-01 00:00:00
1,5.7,13.7,96,2004-03-12 21:00:00,2004-01-01 00:00:00
1,6.0,13.6,96,2004-03-12 20:00:00,2004-01-01 00:00:00
1,0.8,8.9,92,2004-06-08 20:00:00,2004-01-01 00:00:00
1,6.7,13.1,91,2004-03-12 15:00:00,2004-01-01 00:00:00
1,6.4,12.7,90,2004-03-12 13:00:00,2004-01-01 00:00:00
1,5.8,12.1,86,2004-03-12 10:00:00,2004-01-01 00:00:00
1,6.0,12.1,85,2004-03-12 09:00:00,2004-01-01 00:00:00
1,5.6,11.9,83,2004-03-12 08:00:00,2004-01-01 00:00:00
1,5.5,11.9,82,2004-03-12 07:00:00,2004-01-01 00:00:00
1,4.8,11.8,79,2004-03-12 05:00:00,2004-01-01 00:00:00
1,4.9,11.8,79,2004-03-12 04:00:00,2004-01-01 00:00:00
1,4.9,11.9,78,2004-03-12 03:00:00,2004-01-01 00:00:00
1,4.5,11.9,77,2004-03-12 02:00:00,2004-01-01 00:00:00
1,4.6,12.0,76,2004-03-12 01:00:00,2004-01-01 00:00:00
1,4.2,12.2,73,2004-03-11 22:00:00,2004-01-01 00:00:00
1,4.1,12.5,70,2004-03-11 20:00:00,2004-01-01 00:00:00
1,4.3,13.0,73,2004-03-11 17:00:00,2004-01-01 00:00:00
1,4.4,13.1,73,2004-03-11 16:00:00,2004-01-01 00:00:00
1,4.3,13.3,72,2004-03-11 14:00:00,2004-01-01 00:00:00
1,4.5,13.4,71,2004-03-11 13:00:00,2004-01-01 00:00:00
1,3.9,13.7,76,2004-03-11 11:00:00,2004-01-01 00:00:00
1,3.9,14.4,77,2004-03-11 04:00:00,2004-01-01 00:00:00
1,4.0,14.5,77,2004-03-11 03:00:00,2004-01-01 00:00:00
1,4.8,14.7,76,2004-03-11 00:00:00,2004-01-01 00:00:00
1,5.1,14.8,76,2004-03-10 23:00:00,2004-01-01 00:00:00
1,4.9,14.9,75,2004-03-10 22:00:00,2004-01-01 00:00:00
1,4.2,15.3,74,2004-03-10 20:00:00,2004-01-01 00:00:00
1,0.6,7.7,121,2004-05-25 05:00:00,2004-01-01 00:00:00
1,0.7,8.4,116,2004-05-24 19:00:00,2004-01-01 00:00:00
1,1.0,10.1,71,2004-05-27 03:00:00,2004-01-01 00:00:00
1,1.2,9.9,53,2004-03-10 14:00:00,2004-01-01 00:00:00
1,0.8,10.1,60,2004-03-10 11:00:00,2004-01-01 00:00:00
1,0.6,8.6,114,2004-05-24 15:00:00,2004-01-01 00:00:00
1,1.2,10.2,54,2004-03-10 03:00:00,2004-01-01 00:00:00
1,1.3,10.3,53,2004-03-10 01:00:00,2004-01-01 00:00:00
1,1.5,10.3,53,2004-03-10 00:00:00,2004-01-01 00:00:00
1,1.5,10.4,54,2004-03-09 23:00:00,2004-01-01 00:00:00
1,1.6,10.4,54,2004-03-09 22:00:00,2004-01-01 00:00:00
1,1.7,10.5,54,2004-03-09 21:00:00,2004-01-01 00:00:00
1,1.6,10.6,54,2004-03-09 20:00:00,2004-01-01 00:00:00
1,1.8,10.7,54,2004-03-09 19:00:00,2004-01-01 00:00:00
1,0.6,10.1,75,2004-05-26 22:00:00,2004-01-01 00:00:00
1,3.1,10.3,90,2004-05-30 18:00:00,2004-01-01 00:00:00
1,3.0,10.8,30,2004-03-09 09:00:00,2004-01-01 00:00:00
1,4.9,10.1,356,2004-03-09 05:00:00,2004-01-01 00:00:00
1,4.5,10.2,357,2004-03-09 04:00:00,2004-01-01 00:00:00
1,4.9,10.2,357,2004-03-09 03:00:00,2004-01-01 00:00:00
1,4.7,10.1,357,2004-03-09 01:00:00,2004-01-01 00:00:00
1,0.6,7.6,122,2004-05-25 07:00:00,2004-01-01 00:00:00
1,5.3,9.6,358,2004-03-08 23:00:00,2004-01-01 00:00:00
1,0.4,14.7,20,2004-05-25 17:00:00,2004-01-01 00:00:00
1,4.3,9.4,1,2004-03-08 21:00:00,2004-01-01 00:00:00
1,0.4,14.7,20,2004-05-25 18:00:00,2004-01-01 00:00:00
1,1.6,11.9,75,2004-03-08 15:00:00,2004-01-01 00:00:00
1,0.6,7.8,120,2004-05-25 02:00:00,2004-01-01 00:00:00
1,1.7,11.1,71,2004-03-08 14:00:00,2004-01-01 00:00:00
1,1.7,11.0,71,2004-03-08 13:00:00,2004-01-01 00:00:00
1,1.6,11.0,72,2004-03-08 12:00:00,2004-01-01 00:00:00
1,1.7,10.8,74,2004-03-08 09:00:00,2004-01-01 00:00:00
1,1.6,10.8,75,2004-03-08 06:00:00,2004-01-01 00:00:00
1,1.7,10.9,76,2004-03-08 04:00:00,2004-01-01 00:00:00
1,1.5,11.0,77,2004-03-08 02:00:00,2004-01-01 00:00:00
1,1.5,11.0,77,2004-03-08 01:00:00,2004-01-01 00:00:00
1,1.4,11.1,78,2004-03-07 23:00:00,2004-01-01 00:00:00
1,1.4,11.2,78,2004-03-07 22:00:00,2004-01-01 00:00:00
1,1.1,11.3,81,2004-03-07 18:00:00,2004-01-01 00:00:00
1,1.1,9.6,128,2004-03-07 07:00:00,2004-01-01 00:00:00
1,1.5,10.0,128,2004-03-07 00:00:00,2004-01-01 00:00:00
1,1.5,10.0,128,2004-03-06 23:00:00,2004-01-01 00:00:00
1,1.5,10.0,127,2004-03-06 21:00:00,2004-01-01 00:00:00
1,1.6,10.2,127,2004-03-06 17:00:00,2004-01-01 00:00:00
1,1.6,10.3,127,2004-03-06 15:00:00,2004-01-01 00:00:00
1,1.8,10.8,126,2004-03-06 10:00:00,2004-01-01 00:00:00
1,1.8,10.9,126,2004-03-06 09:00:00,2004-01-01 00:00:00
1,1.9,10.9,126,2004-03-06 08:00:00,2004-01-01 00:00:00
1,2.0,11.0,126,2004-03-06 07:00:00,2004-01-01 00:00:00
1,1.9,11.0,126,2004-03-06 06:00:00,2004-01-01 00:00:00
1,2.0,11.1,126,2004-03-06 05:00:00,2004-01-01 00:00:00
1,2.1,11.1,126,2004-03-06 03:00:00,2004-01-01 00:00:00
1,2.1,11.3,126,2004-03-06 00:00:00,2004-01-01 00:00:00
1,2.1,11.3,125,2004-03-05 23:00:00,2004-01-01 00:00:00
1,2.2,11.5,125,2004-03-05 21:00:00,2004-01-01 00:00:00
1,1.5,9.7,81,2004-06-04 23:00:00,2004-01-01 00:00:00
1,0.4,9.0,110,2004-05-26 02:00:00,2004-01-01 00:00:00
1,1.7,9.4,91,2004-05-31 08:00:00,2004-01-01 00:00:00
1,0.4,14.7,20,2004-05-25 21:00:00,2004-01-01 00:00:00
1,1.5,8.9,65,2004-06-02 05:00:00,2004-01-01 00:00:00
1,0.4,9.0,110,2004-05-26 04:00:00,2004-01-01 00:00:00
1,3.2,10.4,85,2004-03-05 08:00:00,2004-01-01 00:00:00
1,2.5,10.7,85,2004-03-05 05:00:00,2004-01-01 00:00:00
1,3.0,10.8,84,2004-03-05 04:00:00,2004-01-01 00:00:00
1,2.8,10.9,84,2004-03-05 03:00:00,2004-01-01 00:00:00
1,3.2,11.0,86,2004-03-05 01:00:00,2004-01-01 00:00:00
1,3.3,11.1,86,2004-03-05 00:00:00,2004-01-01 00:00:00
1,3.1,11.2,86,2004-03-04 22:00:00,2004-01-01 00:00:00
1,3.5,11.3,85,2004-03-04 19:00:00,2004-01-01 00:00:00
1,4.7,11.7,85,2004-03-04 13:00:00,2004-01-01 00:00:00
1,4.6,11.4,82,2004-03-04 09:00:00,2004-01-01 00:00:00
1,4.3,11.1,79,2004-03-04 07:00:00,2004-01-01 00:00:00
1,4.2,11.0,78,2004-03-04 06:00:00,2004-01-01 00:00:00
1,4.0,10.9,77,2004-03-04 04:00:00,2004-01-01 00:00:00
1,3.9,10.8,77,2004-03-04 00:00:00,2004-01-01 00:00:00
